metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.54,269,0.892193
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.55,269,0.892193
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.56,269,0.866171
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.57,269,0.858736
return_std_1m_5m,2,Q2,0.0001048400,0.0001397107,0.58,269,0.847584
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.52,269,0.936803
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.53,269,0.921933
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.54,269,0.907063
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.55,269,0.884758
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.56,269,0.855019
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.57,269,0.847584
return_std_1m_5m,3,Q3,0.0001398013,0.0001698338,0.58,269,0.828996
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.52,268,0.947761
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.53,268,0.925373
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.54,268,0.899254
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.55,268,0.876866
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.56,268,0.850746
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.57,268,0.832090
return_std_1m_5m,4,Q4,0.0001698440,0.0001929282,0.58,268,0.817164
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.52,269,0.929368
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.53,269,0.918216
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.54,269,0.895911
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.55,269,0.884758
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.56,269,0.866171
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.57,269,0.851301
return_std_1m_5m,5,Q5,0.0001929673,0.0002153223,0.58,269,0.843866
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.52,269,0.973978
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.53,269,0.929368
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.54,269,0.910781
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.55,269,0.895911
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.56,269,0.881041
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.57,269,0.869888
return_std_1m_5m,6,Q6,0.0002153412,0.0002374420,0.58,269,0.866171
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.52,268,0.962687
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.53,268,0.936567
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.54,268,0.917910
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.55,268,0.888060
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.56,268,0.869403
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.57,268,0.854478
return_std_1m_5m,7,Q7,0.0002375305,0.0002566087,0.58,268,0.843284
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.52,269,0.947955
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.53,269,0.925651
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.54,269,0.914498
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.55,269,0.899628
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.56,269,0.877323
return_std_1m_5m,8,Q8,0.0002566985,0.0002778814,0.57,269,0.869888
